DATE,daily_demand,national_temp_avg
2020-04-30,1068347,10.258333333333333
2020-05-01,1028392,11.424999999999999
2020-05-02,939478,9.891666666666666
2020-05-03,1009909,11.225
2020-05-04,1005114,11.483333333333333
2020-05-05,974758,11.641666666666666
2020-05-06,979793,12.200000000000001
2020-05-07,981616,13.166666666666666
2020-05-08,907632,16.166666666666668
2020-05-09,856990,10.908333333333331
2020-05-10,892394,10.683333333333332
2020-05-11,963988,9.016666666666666
2020-05-12,1053374,6.233333333333333
2020-05-13,1040380,8.933333333333334
2020-05-14,1027924,8.291666666666666
2020-05-15,1006092,9.908333333333333
2020-05-16,924677,12.200000000000001
2020-05-17,882503,13.441666666666668
2020-05-18,954975,16.34166666666667
2020-05-19,995797,18.691666666666666
2020-05-20,978642,17.008333333333333
2020-05-21,976556,14.983333333333334
2020-05-22,858625,16.23333333333333
2020-05-23,806547,15.391666666666666
2020-05-24,827688,16.683333333333334
2020-05-25,848654,14.799999999999999
2020-05-26,970034,16.775000000000002
2020-05-27,976438,16.733333333333334
2020-05-28,942171,17.008333333333333
2020-05-29,914195,16.400000000000002
2020-05-30,827942,16.008333333333333
2020-05-31,811186,17.0
2020-06-01,957068,16.541666666666668
2020-06-02,973790,12.899999999999999
2020-06-03,1043878,13.666666666666666
2020-06-04,1039739,12.391666666666666
2020-06-05,956971,12.366666666666667
2020-06-06,890669,11.766666666666666
2020-06-07,945924,12.0
2020-06-08,1051594,13.491666666666667
2020-06-09,1068591,12.283333333333333
2020-06-10,1127233,14.575000000000001
2020-06-11,1032434,15.021428571428572
2020-06-12,1036325,17.133333333333333
2020-06-13,903940,16.858333333333334
2020-06-14,904867,17.125
2020-06-15,1025586,16.508333333333333
2020-06-16,1063094,16.599999999999998
2020-06-17,1078651,13.975
2020-06-18,1119997,15.683333333333332
2020-06-19,1028904,17.441666666666666
2020-06-20,888908,16.275000000000002
2020-06-21,840541,17.475
2020-06-22,957491,17.083333333333332
2020-06-23,987028,20.825
2020-06-24,1027282,21.900000000000002
2020-06-25,1040736,21.391666666666666
2020-06-26,1058435,18.400000000000002
2020-06-27,900030,16.666666666666668
2020-06-28,789630,14.466666666666669
2020-06-29,964373,15.450000000000001
2020-06-30,1075689,16.125
2020-07-01,1083053,16.333333333333332
2020-07-02,1086153,14.758333333333333
2020-07-03,993550,15.15
2020-07-04,938697,16.70714285714286
2020-07-05,827216,17.441666666666666
2020-07-06,991535,14.825000000000001
2020-07-07,1111057,14.308333333333332
2020-07-08,1145381,15.833333333333334
2020-07-09,1142661,16.433333333333334
2020-07-10,1047407,15.549999999999999
2020-07-11,922149,15.241666666666667
2020-07-12,891116,14.666666666666666
2020-07-13,1067659,15.75
2020-07-14,1098191,16.241666666666667
2020-07-15,1130387,17.741666666666667
2020-07-16,1098169,19.575
2020-07-17,1057076,18.633333333333333
2020-07-18,966064,16.95
2020-07-19,916100,16.241666666666667
2020-07-20,1020518,14.541666666666666
2020-07-21,1055061,14.916666666666666
2020-07-22,1052870,16.816666666666666
2020-07-23,1063275,17.71666666666667
2020-07-24,1056382,18.083333333333332
2020-07-25,957130,18.791666666666668
2020-07-26,885816,16.275000000000002
2020-07-27,1036082,16.925
2020-07-28,977121,16.516666666666666
2020-07-29,1036374,18.15
2020-07-30,1044710,22.766666666666666
2020-07-31,1038281,19.058333333333334
2020-08-01,962520,18.383333333333333
2020-08-02,906420,15.816666666666668
2020-08-03,1043456,15.783333333333333
2020-08-04,1052858,16.0
2020-08-05,1041619,20.058333333333334
2020-08-06,1148978,23.708333333333332
2020-08-07,1116722,21.233333333333334
2020-08-08,982117,21.75
2020-08-09,954538,22.333333333333332
2020-08-10,1128760,23.90833333333333
2020-08-11,1172920,24.933333333333334
2020-08-12,1187268,21.033333333333335
2020-08-13,1179893,19.566666666666666
2020-08-14,1150299,17.95
2020-08-15,1051214,18.708333333333332
2020-08-16,1034410,18.775000000000002
2020-08-17,1140131,18.791666666666668
2020-08-18,1118601,17.558333333333334
2020-08-19,1170535,19.333333333333332
2020-08-20,1033917,18.366666666666667
2020-08-21,994340,18.383333333333333
2020-08-22,890241,17.45
2020-08-23,956185,17.241666666666667
2020-08-24,1097267,15.966666666666667
2020-08-25,1084126,17.62857142857143
2020-08-26,1078747,15.5
2020-08-27,1191180,14.683333333333332
2020-08-28,1097400,13.65
2020-08-29,950183,13.258333333333333
2020-08-30,955376,13.025
2020-08-31,1008401,13.5
2020-09-01,1117444,12.566666666666668
2020-09-02,1136062,14.766666666666666
2020-09-03,1129157,16.349999999999998
2020-09-04,1119017,14.933333333333332
2020-09-05,973775,14.091666666666667
2020-09-06,1013381,14.458333333333334
2020-09-07,1156949,16.683333333333334
2020-09-08,1162356,17.308333333333334
2020-09-09,1144708,15.433333333333332
2020-09-10,1167072,12.291666666666666
2020-09-11,1128043,14.341666666666667
2020-09-12,975399,17.383333333333333
2020-09-13,937360,19.416666666666668
2020-09-14,1133625,18.150000000000002
2020-09-15,1192497,17.291666666666668
2020-09-16,1165142,17.23333333333333
2020-09-17,1126867,15.408333333333333
2020-09-18,1082406,14.408333333333333
2020-09-19,973445,15.583333333333334
2020-09-20,999362,17.291666666666668
2020-09-21,1169992,16.491666666666667
2020-09-22,1185962,13.033333333333333
2020-09-23,1230170,13.491666666666667
2020-09-24,1196437,10.341666666666667
2020-09-25,1108509,9.535714285714286
2020-09-26,1039346,9.471428571428572
2020-09-27,1067133,11.716666666666667
2020-09-28,1271734,10.9
2020-09-29,1245855,12.291666666666666
2020-09-30,1260822,11.516666666666667
2020-10-01,1259053,11.333333333333334
2020-10-02,1254345,10.633333333333333
2020-10-03,1176623,11.658333333333333
2020-10-04,1174082,12.391666666666666
2020-10-05,1284988,12.341666666666667
2020-10-06,1256650,12.541666666666666
2020-10-07,1248859,12.366666666666667
2020-10-08,1287094,11.75
2020-10-09,1262225,9.858333333333334
2020-10-10,1159950,9.291666666666666
2020-10-11,1140656,9.075000000000001
2020-10-12,1369992,9.166666666666666
2020-10-13,1346114,9.558333333333332
2020-10-14,1305630,10.291666666666666
2020-10-15,1324435,8.908333333333333
2020-10-16,1341499,8.733333333333333
2020-10-17,1233174,9.775
2020-10-18,1223540,10.575000000000001
2020-10-19,1300877,11.841666666666667
2020-10-20,1275736,13.008333333333333
2020-10-21,1365791,13.608333333333334
2020-10-22,1297473,12.108333333333334
2020-10-23,1314719,11.191666666666668
2020-10-24,1185781,9.799999999999999
2020-10-25,1141754,9.966666666666667
2020-10-26,1294315,9.808333333333334
2020-10-27,1362320,8.708333333333334
2020-10-28,1330087,10.875
2020-10-29,1356319,11.008333333333333
2020-10-30,1309565,12.549999999999999
2020-10-31,1137707,13.783333333333333
2020-11-01,1118989,11.950000000000001
2020-11-02,1235321,11.35
2020-11-03,1394563,8.433333333333334
2020-11-04,1439356,5.841666666666666
2020-11-05,1440793,6.7749999999999995
2020-11-06,1379702,6.991666666666667
2020-11-07,1261119,7.733333333333333
2020-11-08,1257521,10.116666666666667
2020-11-09,1359257,11.841666666666667
2020-11-10,1354765,11.241666666666667
2020-11-11,1310954,10.583333333333334
2020-11-12,1286719,10.691666666666668
2020-11-13,1288974,10.991666666666667
2020-11-14,1192427,10.041666666666666
2020-11-15,1142076,11.658333333333333
2020-11-16,1311872,10.758333333333333
2020-11-17,1299666,11.858333333333334
2020-11-18,1282393,10.633333333333335
