DATE,daily_demand,national_temp_avg,lag_1,lag_7,lag_14,lag_30,roll_mean_7,roll_std_7,diff_1,pct_change_7,HDD,CDD,temp_lag_1,temp_lag_3,day_of_week,month,year,dow_sin,dow_cos,month_sin,month_cos
2016-02-26,1662840,3.05625,1678596.0,1596118.0,1669459.0,1562231.0,1557422.0,140161.08261924097,-15756.0,0.04180267373715485,14.94375,0.0,2.5375,4.16875,4,2,2016,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2016-02-27,1487933,4.3625,1662840.0,1400752.0,1512824.0,1579465.0,1569876.4285714286,127192.90937371427,-174907.0,0.062238711777673705,13.6375,0.0,3.05625,1.43125,5,2,2016,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2016-02-28,1443659,4.75,1487933.0,1323985.0,1426483.0,1532256.0,1586972.7142857143,91733.74597479754,-44274.0,0.09038924156995742,13.25,0.0,4.3625,2.5375,6,2,2016,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2016-02-29,1649277,5.45625,1443659.0,1567477.0,1654227.0,1384912.0,1598658.4285714286,94018.02186965432,205618.0,0.05218577369875277,12.54375,0.0,4.75,3.05625,0,2,2016,0.0,1.0,0.8660254037844386,0.5000000000000001
2016-03-01,1589889,4.525,1649277.0,1610066.0,1659083.0,1416807.0,1595776.0,93919.24017294748,-59388.0,-0.0125317844113223,13.475,0.0,5.45625,4.3625,1,3,2016,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2016-03-02,1611267,5.49375,1589889.0,1658238.0,1704092.0,1516187.0,1589065.857142857,90321.85926345155,21378.0,-0.028325849486020682,12.50625,0.0,4.525,4.75,2,3,2016,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2016-03-03,1623240,4.0625,1611267.0,1678596.0,1652460.0,1545174.0,1581157.857142857,83329.36644909083,11973.0,-0.03297755981784778,13.9375,0.0,5.49375,5.45625,3,3,2016,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2016-03-04,1601551,4.0625,1623240.0,1662840.0,1596118.0,1621274.0,1572402.2857142857,76234.27430560501,-21689.0,-0.03685802602775978,13.9375,0.0,4.0625,4.525,4,3,2016,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2016-03-05,1463171,3.2625,1601551.0,1487933.0,1400752.0,1609118.0,1568864.857142857,81218.64237645017,-138380.0,-0.016641878364146767,14.7375,0.0,4.0625,5.49375,5,3,2016,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
2016-03-06,1453255,3.18125,1463171.0,1443659.0,1323985.0,1541494.0,1570235.7142857143,78798.03812851089,-9916.0,0.006646999048944391,14.81875,0.0,3.2625,4.0625,6,3,2016,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
2016-03-07,1631929,3.4312500000000004,1453255.0,1649277.0,1567477.0,1428117.0,1567757.4285714286,76125.25668451466,178674.0,-0.010518548430615393,14.56875,0.0,3.18125,4.0625,0,3,2016,0.0,1.0,1.0,6.123233995736766e-17
2016-03-08,1716089,3.10625,1631929.0,1589889.0,1610066.0,1341477.0,1585786.0,94874.98014578944,84160.0,0.07937661056841083,14.89375,0.0,3.4312500000000004,3.2625,1,3,2016,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2016-03-09,1674710,5.0,1716089.0,1611267.0,1658238.0,1578849.0,1594849.2857142857,100573.9906117311,-41379.0,0.03937460396073411,13.0,0.0,3.10625,3.18125,2,3,2016,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2016-03-10,1669836,6.3625,1674710.0,1623240.0,1678596.0,1612274.0,1601505.857142857,104241.36301938839,-4874.0,0.028705551859244505,11.6375,0.0,5.0,3.4312500000000004,3,3,2016,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2016-03-11,1597113,5.825,1669836.0,1601551.0,1662840.0,1633378.0,1600871.857142857,104254.5379098991,-72723.0,-0.0027710638000288945,12.175,0.0,6.3625,3.10625,4,3,2016,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2016-03-12,1421028,6.59375,1597113.0,1463171.0,1487933.0,1661020.0,1594851.4285714286,114267.68281955106,-176085.0,-0.02880251180484028,11.40625,0.0,5.825,5.0,5,3,2016,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
2016-03-13,1335648,6.60625,1421028.0,1453255.0,1443659.0,1669459.0,1578050.4285714286,143471.00381476537,-85380.0,-0.0809266095764336,11.39375,0.0,6.59375,6.3625,6,3,2016,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
2016-03-14,1507729,5.325,1335648.0,1631929.0,1649277.0,1512824.0,1560307.5714285714,143377.19112751744,172081.0,-0.0761062521715099,12.675,0.0,6.60625,5.825,0,3,2016,0.0,1.0,1.0,6.123233995736766e-17
